name,split,side,offset_m,speed_mps,t_cpa_s,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,17.34,27.67,3.36,peepo,-0.31,0.0678,0.01117,0.267,0.9,0.213,9.96,9.96,5.28,5.28,2.509,8.504,0.81,63,PASS
fold1_room1_mix002,train,R,-9.45,24.59,4.49,peepo,-2.53,0.0763,0.00542,0.206,1.06,0.298,6.93,6.93,3.33,3.33,5.097,7.712,1.2,28,PASS
fold1_room1_mix003,train,L,5.51,24.23,6.27,wail,-1.21,0.0232,0.0028,0.212,0.47,0.36,18.35,18.35,13.25,13.25,1.47,4.189,0.24,25,PASS
fold1_room1_mix004,train,R,-13.69,16.26,5.28,wail,-1.24,0.0786,0.00945,0.251,0.57,0.186,13.58,13.58,8.5,8.5,5.537,8.161,0.31,27,PASS
fold1_room1_mix005,train,L,14.15,19.22,4.2,peepo,-0.81,0.1153,0.01317,0.221,0.87,0.319,1.89,1.89,13.59,13.59,3.339,6.334,0.55,31,PASS
fold1_room1_mix006,train,R,-5.05,16.29,6.06,peepo,-3.39,0.1688,0.02032,0.334,1.49,0.283,6.23,6.23,11.81,11.81,5.123,9.637,0.83,46,PASS
fold1_room1_mix007,train,L,12.46,18.85,5.06,wail,-5.72,0.0507,0.00815,0.299,0.81,0.235,12.97,12.97,13.24,13.24,3.541,6.11,0.34,26,PASS
fold1_room1_mix008,train,R,-8.96,22.37,6.94,wail,-5.84,0.0522,0.0056,0.215,2.6,0.346,5.36,5.36,6.26,6.26,2.359,6.731,0.67,41,PASS
fold1_room1_mix009,train,L,14.02,17.92,5.95,peepo,-5.92,0.1272,0.00777,0.233,0.91,0.229,8.91,8.91,7.69,7.69,4.977,8.792,0.6,39,PASS
fold1_room1_mix010,train,R,-18.74,29.04,3.39,peepo,-4.73,0.0401,0.00469,0.21,0.89,0.288,6.37,6.37,9.29,9.29,3.497,9.327,0.76,62,PASS
fold1_room1_mix011,train,L,14.32,15.35,6.5,wail,-1.83,0.058,0.00782,0.269,0.57,0.345,7.41,7.41,14.81,14.81,2.23,5.945,0.34,36,PASS
fold1_room1_mix012,train,R,-16.08,21.5,5.61,wail,-2.27,0.0603,0.01094,0.245,0.78,0.292,8.76,8.76,11.14,11.14,3.218,9.175,0.4,60,PASS
fold1_room1_mix013,train,L,8.19,27.37,5.19,peepo,-4.39,0.0809,0.01095,0.251,1.54,0.221,10.13,10.13,12.7,12.7,4.385,9.629,1.02,55,PASS
fold1_room1_mix014,train,R,-12.89,29.76,6.15,peepo,-4.05,0.0989,0.00881,0.306,1.08,0.343,18.51,18.51,3.3,3.3,3.802,9.414,0.37,57,PASS
fold1_room1_mix015,train,L,19.57,29.31,4.43,wail,-3.02,0.0746,0.00738,0.216,0.92,0.268,8.57,8.57,1.14,1.14,1.019,5.54,2.36,44,PASS
fold1_room1_mix016,train,R,-18.66,16.62,5.5,wail,-2.55,0.0654,0.00743,0.207,0.73,0.232,4.5,4.5,14.05,14.05,5.46,7.869,0.35,25,PASS
fold1_room1_mix017,train,L,11.04,16.89,3.67,peepo,-3.68,0.0787,0.01222,0.252,0.91,0.235,14.68,14.68,3.79,3.79,2.704,8.048,0.47,55,PASS
fold1_room1_mix018,train,R,-11.66,16.78,4.41,peepo,-4.89,0.048,0.00357,0.253,0.49,0.334,18.09,18.09,4.97,4.97,0.301,3.076,0.28,26,PASS
fold1_room1_mix019,train,L,16.71,24.85,4.85,wail,-3.73,0.0262,0.00204,0.258,0.49,0.334,13.6,13.6,2.87,2.87,6.938,9.38,0.24,26,PASS
fold1_room1_mix020,train,R,-11.49,25.21,3.1,wail,-5.07,0.0619,0.00817,0.331,1.9,0.332,8.77,8.77,5.87,5.87,2.584,6.994,1.99,47,PASS
fold1_room1_mix021,train,L,7.79,22.77,6.91,peepo,-5.67,0.2712,0.01047,0.372,1.35,0.365,7.26,7.26,4.72,4.72,5.76,8.582,0.74,29,PASS
fold1_room1_mix022,train,R,-15.39,28.48,3.01,peepo,-3.93,0.2386,0.00785,0.294,1.09,0.343,0.16,0.16,2.34,2.34,1.819,5.317,2.04,36,PASS
fold1_room1_mix023,train,L,11.02,25.65,4.85,wail,-3.92,0.0918,0.00913,0.272,1.18,0.203,5.58,5.58,4.91,4.91,1.096,5.273,1.64,39,PASS
fold1_room1_mix024,train,R,-12.36,15.79,4.71,wail,-2.44,0.0918,0.01225,0.208,2.12,0.208,9.48,9.48,5.52,5.52,4.207,7.866,1.54,38,PASS
fold1_room1_mix025,train,L,7.09,25.44,6.55,peepo,-1.35,0.0566,0.00448,0.249,0.46,0.35,0.56,0.56,0.89,0.89,3.386,5.633,2.09,21,PASS
fold1_room1_mix026,train,R,-17.7,28.95,4.24,peepo,-3.22,0.0648,0.00736,0.265,0.94,0.362,3.44,3.44,10.53,10.53,3.517,6.325,0.63,29,PASS
fold1_room1_mix027,train,L,10.22,28.79,5.96,wail,-4.01,0.0405,0.00466,0.324,0.77,0.356,10.84,10.84,12.92,12.92,6.384,9.614,0.47,35,PASS
fold1_room1_mix028,train,R,-10.28,23.77,3.99,wail,-1.14,0.1221,0.01544,0.296,0.88,0.282,14.99,14.99,8.62,8.62,1.11,6.554,0.4,54,PASS
