frame,class,snr_a_db
0,5,-491.41
1,5,-490.66
2,5,18.84
3,5,20.23
4,5,19.84
5,5,20.9
6,5,21.19
7,5,21.05
8,5,20.82
9,5,22.41
10,5,20.81
11,5,20.76
12,5,21.89
13,5,20.56
14,5,19.2
15,5,21.59
16,5,21.64
17,5,22.38
18,5,25.14
19,5,25.7
20,5,30.08
21,5,27.38
22,5,25.17
23,5,25.69
24,5,24.13
25,5,22.97
26,5,23.51
27,5,25.8
28,5,28.29
29,5,29.86
30,5,28.68
31,5,29.5
32,5,32.4
33,5,34.63
34,5,36.34
35,5,36.3
36,5,38.63
37,5,38.82
38,5,38.85
39,5,34.22
40,5,31.68
41,5,30.65
42,5,30.23
43,5,31.7
44,5,34.1
45,5,34.12
46,5,36.46
47,5,35.07
48,5,34.95
49,5,35.49
50,5,36.26
51,5,39.64
52,5,41.83
53,5,39.91
54,5,39.63
55,5,37.12
56,5,36.16
57,5,35.21
58,5,34.24
59,5,32.01
60,5,35.16
61,5,34.22
62,5,32.28
63,5,31.18
64,5,31.0
65,5,30.67
66,5,29.28
67,5,29.93
68,5,29.99
69,5,30.19
70,5,30.81
71,5,29.34
72,5,27.49
73,5,27.2
74,5,25.77
75,5,24.86
76,5,24.93
77,5,24.82
78,5,28.24
79,5,27.3
80,5,27.6
81,5,25.89
82,5,25.29
83,5,24.26
84,5,23.41
85,5,24.67
86,5,27.92
87,5,30.72
88,5,28.32
89,5,24.4
90,5,23.95
91,5,20.98
92,5,20.33
93,5,21.5
94,5,21.09
95,5,24.52
96,5,25.56
97,5,28.14
98,5,24.28
99,5,22.22
0,5,-491.41
1,5,-490.66
2,5,10.39
3,5,20.22
4,5,20.53
5,5,20.67
6,5,20.91
7,5,21.08
8,5,20.74
9,5,20.92
10,5,20.28
11,5,21.16
12,5,22.65
13,5,23.18
14,5,21.17
15,5,22.3
16,5,22.31
17,5,21.51
18,5,22.34
19,5,21.52
20,5,22.46
21,5,24.59
22,5,27.41
23,5,25.46
24,5,23.46
25,5,22.66
26,5,23.62
27,5,25.91
28,5,26.98
29,5,29.91
30,5,27.59
31,5,25.91
32,5,25.05
33,5,24.48
34,5,24.42
35,5,24.8
36,5,26.21
37,5,28.25
38,5,31.23
39,5,28.75
40,5,27.78
41,5,27.78
42,5,25.83
43,5,29.32
44,5,30.58
45,5,34.4
46,5,33.81
47,5,31.25
48,5,30.95
49,5,30.17
50,5,28.82
51,5,31.57
52,5,32.09
53,5,32.06
54,5,36.19
55,5,34.34
56,5,34.37
57,5,34.49
58,5,34.14
59,5,34.77
60,5,39.86
61,5,40.82
62,5,41.5
63,5,38.28
64,5,37.48
65,5,39.84
66,5,38.99
67,5,38.09
68,5,39.0
69,5,40.68
70,5,40.05
71,5,40.12
72,5,34.35
73,5,35.35
74,5,32.08
75,5,32.53
76,5,31.9
77,5,34.6
78,5,35.88
79,5,33.95
80,5,32.44
81,5,31.16
82,5,29.64
83,5,30.39
84,5,29.09
85,5,27.41
86,5,28.75
87,5,30.65
88,5,33.47
89,5,31.0
90,5,28.41
91,5,26.21
92,5,25.75
93,5,26.73
94,5,27.91
95,5,28.52
96,5,31.93
97,5,29.16
98,5,25.85
99,5,25.39
0,5,-491.41
1,5,-490.66
2,5,-490.74
3,5,14.95
4,5,18.16
5,5,18.47
6,5,18.71
7,5,18.94
8,5,19.23
9,5,18.53
10,5,21.7
11,5,21.08
12,5,23.77
13,5,20.72
14,5,19.13
15,5,19.72
16,5,19.36
17,5,20.85
18,5,19.61
19,5,21.29
20,5,22.01
21,5,26.16
22,5,23.55
23,5,22.77
24,5,22.52
25,5,21.77
26,5,24.14
27,5,25.95
28,5,26.94
29,5,24.14
30,5,21.36
31,5,22.18
32,5,21.8
33,5,21.79
34,5,22.99
35,5,23.18
36,5,24.12
37,5,25.3
38,5,25.42
39,5,23.71
40,5,22.75
41,5,23.17
42,5,23.92
43,5,27.61
44,5,27.04
45,5,25.99
46,5,26.29
47,5,25.49
48,5,25.19
49,5,25.63
50,5,25.43
51,5,27.09
52,5,28.18
53,5,30.14
54,5,30.36
55,5,27.54
56,5,28.63
57,5,28.3
58,5,28.18
59,5,29.17
60,5,33.65
61,5,32.65
62,5,30.88
63,5,29.89
64,5,29.71
65,5,31.59
66,5,31.4
67,5,31.53
68,5,35.17
69,5,34.67
70,5,34.68
71,5,34.11
72,5,35.5
73,5,35.17
74,5,35.39
75,5,41.26
76,5,42.32
77,5,43.72
78,5,43.04
79,5,40.89
80,5,39.94
81,5,37.94
82,5,37.04
83,5,36.78
84,5,36.5
85,5,35.45
86,5,40.55
87,5,38.25
88,5,35.66
89,5,32.66
90,5,32.53
91,5,30.59
92,5,35.73
93,5,34.07
94,5,36.37
95,5,33.66
96,5,30.87
97,5,29.14
98,5,29.03
99,5,28.47
0,5,-491.41
1,5,-490.66
2,5,-490.74
3,5,-344.67
4,5,16.54
5,5,16.45
6,5,17.64
7,5,17.89
8,5,20.54
9,5,22.76
10,5,20.98
11,5,18.51
12,5,18.61
13,5,17.09
14,5,16.55
15,5,17.22
16,5,18.17
17,5,19.98
18,5,22.83
19,5,21.83
20,5,19.19
21,5,19.61
22,5,19.84
23,5,20.27
24,5,21.81
25,5,23.23
26,5,23.7
27,5,21.58
28,5,19.4
29,5,19.66
30,5,19.7
31,5,21.02
32,5,19.7
33,5,21.2
34,5,25.79
35,5,23.77
36,5,22.23
37,5,21.53
38,5,20.8
39,5,20.12
40,5,25.28
41,5,25.43
42,5,25.23
43,5,22.9
44,5,22.99
45,5,23.72
46,5,22.95
47,5,22.55
48,5,22.4
49,5,25.44
50,5,24.53
51,5,27.43
52,5,23.87
53,5,23.61
54,5,24.01
55,5,23.33
56,5,25.47
57,5,28.11
58,5,27.32
59,5,25.75
60,5,26.94
61,5,25.21
62,5,24.1
63,5,24.28
64,5,25.73
65,5,28.98
66,5,28.84
67,5,30.97
68,5,29.8
69,5,29.6
70,5,28.79
71,5,28.86
72,5,30.04
73,5,29.09
74,5,33.13
75,5,30.26
76,5,30.28
77,5,30.34
78,5,29.92
79,5,30.39
80,5,32.0
81,5,34.87
82,5,35.64
83,5,36.72
84,5,34.84
85,5,33.54
86,5,36.15
87,5,35.64
88,5,37.36
89,5,38.44
90,5,42.87
91,5,40.31
92,5,39.41
93,5,39.9
94,5,38.05
95,5,38.46
96,5,38.78
97,5,36.68
98,5,37.0
99,5,37.85
0,5,-491.41
1,5,-490.66
2,5,-490.74
3,5,-490.67
4,5,11.78
5,5,15.33
6,5,15.91
7,5,16.94
8,5,16.54
9,5,16.86
10,5,15.6
11,5,15.8
12,5,15.45
13,5,15.06
14,5,14.63
15,5,16.39
16,5,19.87
17,5,23.25
18,5,21.21
19,5,19.68
20,5,18.25
21,5,18.0
22,5,17.7
23,5,18.63
24,5,18.01
25,5,19.2
26,5,21.6
27,5,20.32
28,5,18.92
29,5,19.67
30,5,18.01
31,5,18.47
32,5,18.96
33,5,22.75
