=== v11 gen rows 3642-7199 (3558 clips) ===
[gen] fold1_room1_mix3643 static tier=critical car_drive noise=44.5dBA peak=0.003 (2s)
[gen] fold1_room1_mix3644 static tier=critical car_drive+horn noise=59.8dBA peak=0.026 (4s)
[gen] fold1_room1_mix3645 walk tier=caution car_drive+backup_beep noise=40.6dBA peak=0.001 (5s)
[gen] fold1_room1_mix3646 walk tier=critical car_drive+siren noise=42.0dBA peak=0.055 (4s)
[gen] fold1_room1_mix3647 walk tier=safe car_drive noise=53.3dBA peak=0.001 (2s)
[gen] fold1_room1_mix3648 static tier=caution car_drive+car_drive+crossing noise=51.8dBA peak=0.003 (8s)
[gen] fold1_room1_mix3649 static tier=critical car_drive+horn noise=44.8dBA peak=0.006 (5s)
[gen] fold1_room1_mix3650 walk tier=critical car_drive+car_drive+horn noise=56.7dBA peak=0.042 (8s)
[gen] fold1_room1_mix3651 static tier=safe car_drive+crossing noise=59.3dBA peak=0.001 (6s)
[gen] fold1_room1_mix3652 walk tier=critical car_drive+siren noise=60.2dBA peak=0.051 (6s)
[gen] fold1_room1_mix3653 static tier=caution car_drive noise=53.0dBA peak=0.002 (3s)
[gen] fold1_room1_mix3654 static tier=caution car_drive+car_drive noise=44.4dBA peak=0.003 (5s)
[gen] fold1_room1_mix3655 walk tier=safe car_drive+car_drive+car_drive+horn noise=55.1dBA peak=0.011 (12s)
[gen] fold1_room1_mix3656 walk tier=safe car_drive+car_drive+car_drive+siren+backup_beep noise=63.6dBA peak=0.014 (13s)
[gen] fold1_room1_mix3657 static tier=critical car_drive noise=46.1dBA peak=0.002 (3s)
[gen] fold1_room1_mix3658 walk tier=caution car_drive+siren noise=62.9dBA peak=0.007 (6s)
[gen] fold1_room1_mix3659 static tier=critical car_drive+backup_beep noise=44.4dBA peak=0.005 (4s)
[gen] fold1_room1_mix3660 static tier=caution car_drive+backup_beep+crossing noise=55.6dBA peak=0.002 (8s)
[gen] fold1_room1_mix3661 static tier=safe car_drive+car_drive+car_drive+siren+backup_beep noise=59.2dBA peak=0.553 (12s)
[gen] fold1_room1_mix3662 walk tier=na horn noise=59.5dBA peak=0.007 (2s)
[gen] fold1_room1_mix3663 static tier=caution car_drive+car_drive+horn+backup_beep noise=41.4dBA peak=0.005 (10s)
[gen] fold1_room1_mix3664 walk tier=safe car_drive+horn+backup_beep noise=48.9dBA peak=0.025 (8s)
[gen] fold1_room1_mix3665 static tier=safe car_drive+car_drive+car_drive noise=51.7dBA peak=0.007 (8s)
[gen] fold1_room1_mix3666 static tier=na siren+crossing noise=62.4dBA peak=0.013 (6s)
[gen] fold1_room1_mix3667 static tier=safe car_drive+car_drive+bike_bell noise=53.8dBA peak=0.002 (18s)
[3642-7199] 25/3558 170s elapsed, 6.80s/clip
[gen] fold1_room1_mix3668 walk tier=critical car_drive+car_drive+car_drive+backup_beep noise=60.3dBA peak=0.003 (10s)
[gen] fold1_room1_mix3669 static tier=na none noise=47.1dBA peak=0.000 (0s)
[gen] fold1_room1_mix3670 walk tier=na siren noise=47.4dBA peak=0.009 (3s)
[gen] fold1_room1_mix3671 static tier=safe car_drive+horn noise=45.7dBA peak=0.017 (5s)
[gen] fold1_room1_mix3672 static tier=safe car_drive+car_drive+backup_beep noise=64.7dBA peak=0.003 (7s)
[gen] fold1_room1_mix3673 walk tier=caution car_drive+car_drive+car_drive noise=60.5dBA peak=0.003 (8s)
[gen] fold1_room1_mix3674 static tier=safe car_drive noise=42.1dBA peak=0.001 (3s)
[gen] fold1_room1_mix3675 walk tier=caution car_drive noise=47.8dBA peak=0.003 (3s)
[gen] fold1_room1_mix3676 static tier=caution car_drive noise=64.1dBA peak=0.002 (3s)
