=== v10.2 gen rows 0-320 (321 clips) ===
[gen] fold1_room2_mix001 static tier=critical car_drive+car_drive+siren noise=41.2dBA peak=0.012 (9s)
[gen] fold1_room2_mix002 static tier=caution car_drive+car_drive noise=58.3dBA peak=0.004 (12s)
[gen] fold1_room2_mix003 walk tier=safe car_drive+car_drive+horn noise=58.8dBA peak=0.037 (18s)
[gen] fold1_room2_mix004 walk tier=critical car_drive+car_drive noise=44.3dBA peak=0.003 (12s)
[gen] fold1_room2_mix005 static tier=caution car_drive+car_drive+backup_beep noise=50.2dBA peak=0.003 (16s)
[gen] fold1_room2_mix006 static tier=safe car_drive+car_drive noise=41.1dBA peak=0.007 (9s)
[gen] fold1_room2_mix007 walk tier=critical car_drive+car_drive+bike_bell noise=57.5dBA peak=0.006 (14s)
[gen] fold1_room2_mix008 walk tier=caution car_drive+car_drive noise=46.1dBA peak=0.005 (10s)
[gen] fold1_room2_mix009 static tier=safe car_drive+car_drive+crossing noise=49.0dBA peak=0.005 (14s)
[gen] fold1_room2_mix010 static tier=critical car_drive+car_drive noise=48.1dBA peak=0.003 (8s)
[gen] fold1_room2_mix011 walk tier=caution car_drive+car_drive+siren noise=61.8dBA peak=0.129 (12s)
[gen] fold1_room2_mix012 walk tier=safe car_drive+car_drive noise=53.7dBA peak=0.001 (9s)
[gen] fold1_room2_mix013 static tier=critical car_drive+car_drive+horn noise=61.7dBA peak=0.019 (12s)
[gen] fold1_room2_mix014 static tier=caution car_drive+car_drive noise=49.5dBA peak=0.002 (9s)
[gen] fold1_room2_mix015 walk tier=safe car_drive+car_drive+backup_beep noise=53.3dBA peak=0.002 (8s)
[gen] fold1_room2_mix016 walk tier=critical car_drive+car_drive noise=54.0dBA peak=0.004 (5s)
[gen] fold1_room2_mix017 static tier=caution car_drive+car_drive+bike_bell noise=40.1dBA peak=0.002 (9s)
[gen] fold1_room2_mix018 static tier=safe car_drive+car_drive noise=51.7dBA peak=0.004 (5s)
[gen] fold1_room2_mix019 walk tier=critical car_drive+car_drive+crossing noise=44.5dBA peak=0.003 (14s)
[gen] fold1_room2_mix020 walk tier=caution car_drive+car_drive noise=61.1dBA peak=0.003 (9s)
[gen] fold1_room2_mix021 static tier=safe car_drive+car_drive+siren noise=57.2dBA peak=0.011 (11s)
[gen] fold1_room2_mix022 static tier=critical car_drive+car_drive noise=45.1dBA peak=0.006 (7s)
[gen] fold1_room2_mix023 walk tier=caution car_drive+car_drive+horn noise=57.4dBA peak=0.005 (10s)
[gen] fold1_room2_mix024 walk tier=safe car_drive+car_drive noise=48.4dBA peak=0.004 (7s)
[gen] fold1_room2_mix025 static tier=critical car_drive+car_drive+backup_beep noise=59.2dBA peak=0.006 (9s)
[0-320] 25/321 260s elapsed, 10.38s/clip
[gen] fold1_room2_mix026 static tier=caution car_drive+car_drive noise=45.6dBA peak=0.004 (6s)
[gen] fold1_room2_mix027 walk tier=safe car_drive+car_drive+bike_bell noise=48.1dBA peak=0.007 (11s)
[gen] fold1_room2_mix028 walk tier=critical car_drive+car_drive noise=60.5dBA peak=0.003 (8s)
[gen] fold1_room2_mix029 static tier=caution car_drive+car_drive+crossing noise=44.4dBA peak=0.003 (12s)
