0,5,0,-144,4,13.15
1,4,0,2,-1,16.88
1,4,1,-11,-1,36.88
1,5,0,-143,4,13.06
2,4,0,2,-1,16.57
2,4,1,-11,-1,36.47
2,5,0,-143,4,12.96
3,4,0,2,-1,16.26
3,4,1,-11,-1,36.07
3,5,0,-143,4,12.87
4,4,0,3,-1,15.96
4,4,1,-11,-1,35.66
4,5,0,-142,4,12.77
5,4,0,3,-1,15.65
5,4,1,-11,-1,35.25
5,5,0,-142,5,12.68
6,4,0,3,-2,15.34
6,4,1,-11,-1,34.85
6,5,0,-142,5,12.59
7,4,0,3,-2,15.03
7,4,1,-11,-1,34.44
7,5,0,-141,5,12.49
8,4,0,3,-2,14.72
8,4,1,-12,-1,34.04
8,5,0,-141,5,12.40
9,4,0,3,-2,14.41
9,4,1,-12,-1,33.63
9,5,0,-141,5,12.31
10,4,0,3,-2,14.10
10,4,1,-12,-1,33.23
10,5,0,-140,5,12.22
11,4,0,3,-2,13.79
11,4,1,-12,-1,32.82
11,5,0,-140,5,12.13
12,4,0,3,-2,13.48
12,4,1,-12,-1,32.42
12,5,0,-140,5,12.04
13,4,0,3,-2,13.18
13,4,1,-12,-1,32.02
13,5,0,-139,5,11.95
14,4,0,3,-2,12.87
14,4,1,-13,-1,31.61
14,5,0,-139,5,11.86
15,4,0,3,-2,12.56
15,4,1,-13,-1,31.21
15,5,0,-139,5,11.77
16,4,0,3,-2,12.25
16,4,1,-13,-1,30.81
16,5,0,-138,5,11.68
17,4,0,3,-2,11.94
17,4,1,-13,-1,30.40
17,5,0,-138,5,11.59
18,4,0,3,-2,11.63
18,4,1,-13,-1,30.00
18,5,0,-137,5,11.51
19,4,0,4,-2,11.32
19,4,1,-13,-1,29.60
19,5,0,-137,5,11.42
20,4,0,4,-2,11.01
20,4,1,-14,-1,29.20
20,5,0,-137,5,11.33
21,4,0,4,-2,10.71
21,4,1,-14,-1,28.79
21,5,0,-136,5,11.25
22,4,0,4,-2,10.40
22,4,1,-14,-1,28.39
22,5,0,-136,5,11.16
23,4,0,4,-2,10.09
23,4,1,-14,-1,27.99
23,5,0,-135,5,11.08
24,4,0,4,-2,9.78
24,4,1,-14,-1,27.59
24,5,0,-135,5,10.99
25,4,0,4,-2,9.47
25,4,1,-15,-1,27.19
25,5,0,-134,5,10.91
26,4,0,4,-3,9.16
26,4,1,-15,-1,26.79
26,5,0,-134,5,10.83
27,4,0,5,-3,8.86
27,4,1,-15,-1,26.39
27,5,0,-134,5,10.75
28,4,0,5,-3,8.55
28,4,1,-15,-1,25.99
28,5,0,-133,5,10.67
29,4,0,5,-3,8.24
29,4,1,-16,-1,25.59
29,5,0,-133,5,10.59
30,4,0,5,-3,7.93
30,4,1,-16,-1,25.20
30,5,0,-132,5,10.51
31,4,0,5,-3,7.62
31,4,1,-16,-1,24.80
31,5,0,-132,6,10.43
32,4,0,6,-3,7.32
32,4,1,-16,-1,24.40
32,5,0,-131,6,10.35
33,4,0,6,-3,7.01
33,4,1,-17,-1,24.01
33,5,0,-131,6,10.27
34,4,0,6,-3,6.70
34,4,1,-17,-1,23.61
34,5,0,-130,6,10.19
35,4,0,6,-4,6.39
35,4,1,-17,-1,23.22
35,5,0,-130,6,10.12
36,4,0,7,-4,6.09
36,4,1,-17,-1,22.82
36,5,0,-129,6,10.04
37,4,0,7,-4,5.78
37,4,1,-18,-1,22.43
37,5,0,-129,6,9.97
38,4,0,7,-4,5.47
38,4,1,-18,-1,22.03
38,5,0,-128,6,9.90
39,4,0,8,-4,5.17
39,4,1,-18,-1,21.64
39,5,0,-128,6,9.82
40,4,0,8,-5,4.86
40,4,1,-19,-1,21.25
40,5,0,-127,6,9.75
41,4,0,9,-5,4.56
41,4,1,-19,-1,20.86
41,5,0,-126,6,9.68
42,4,0,10,-5,4.25
42,4,1,-20,-1,20.47
42,5,0,-126,6,9.61
43,4,0,10,-6,3.95
43,4,1,-20,-1,20.08
43,5,0,-125,6,9.54
44,4,0,11,-6,3.65
44,4,1,-20,-1,19.69
44,5,0,-125,6,9.48
45,4,0,12,-7,3.35
45,4,1,-21,-1,19.31
45,5,0,-124,6,9.41
46,4,0,13,-8,3.05
46,4,1,-21,-1,18.92
46,5,0,-123,6,9.34
47,4,0,15,-8,2.75
47,4,1,-22,-1,18.54
47,5,0,-123,6,9.28
48,4,0,17,-9,2.46
48,4,1,-22,-1,18.15
48,5,0,-122,6,9.22
49,4,0,19,-11,2.17
49,4,1,-23,-1,17.77
49,5,0,-122,6,9.15
50,4,0,22,-12,1.89
50,4,1,-23,-1,17.39
50,5,0,-121,6,9.09
51,4,0,27,-15,1.61
51,4,1,-24,-1,17.01
51,5,0,-120,6,9.03
52,4,0,33,-17,1.35
52,4,1,-24,-1,16.63
52,5,0,-120,6,8.97
53,4,0,42,-21,1.12
53,4,1,-25,-1,16.26
53,5,0,-119,6,8.92
54,4,0,56,-26,0.94
54,4,1,-26,-1,15.89
54,5,0,-118,6,8.86
55,4,0,77,-29,0.83
55,4,1,-26,-1,15.51
55,5,0,-118,7,8.81
56,4,0,102,-29,0.82
56,4,1,-27,-1,15.15
56,5,0,-117,7,8.75
57,4,0,123,-26,0.93
57,4,1,-28,-1,14.78
57,5,0,-116,7,8.70
58,4,0,137,-21,1.11
58,4,1,-28,-1,14.41
58,5,0,-115,7,8.65
59,4,0,146,-18,1.33
59,4,1,-29,-1,14.05
59,5,0,-115,7,8.60
60,4,0,153,-15,1.58
60,4,1,-30,-1,13.69
60,5,0,-114,7,8.55
61,4,0,157,-13,1.85
61,4,1,-31,-1,13.34
61,5,0,-113,7,8.50
62,4,0,160,-11,2.12
62,4,1,-32,-2,12.99
62,5,0,-113,7,8.46
63,4,0,163,-10,2.41
63,4,1,-33,-2,12.64
63,5,0,-112,7,8.41
64,4,0,165,-9,2.69
64,4,1,-34,-2,12.29
64,5,0,-111,7,8.37
65,4,0,166,-8,2.98
65,4,1,-35,-2,11.95
65,5,0,-110,7,8.33
66,4,0,167,-7,3.27
66,4,1,-36,-2,11.62
66,5,0,-110,7,8.29
67,4,0,169,-7,3.57
67,4,1,-37,-2,11.29
67,5,0,-109,7,8.25
68,4,0,169,-6,3.86
68,4,1,-39,-2,10.96
68,5,0,-108,7,8.21
69,4,0,170,-6,4.16
69,4,1,-40,-2,10.64
69,5,0,-107,7,8.18
70,4,0,171,-5,4.45
70,4,1,-42,-2,10.33
70,5,0,-106,7,8.14
71,4,0,171,-5,4.75
71,4,1,-43,-2,10.03
71,5,0,-106,7,8.11
72,4,0,172,-5,5.05
72,4,1,-45,-2,9.73
72,5,0,-105,7,8.08
73,4,0,172,-4,5.35
73,4,1,-47,-2,9.44
73,5,0,-104,7,8.05
74,4,0,173,-4,5.64
74,4,1,-48,-2,9.17
74,5,0,-103,7,8.02
75,4,0,173,-4,5.94
75,4,1,-50,-2,8.90
75,5,0,-102,7,8.00
76,4,0,174,-4,6.24
76,4,1,-52,-2,8.64
76,5,0,-101,7,7.97
77,4,0,174,-4,6.54
77,4,1,-55,-2,8.40
77,5,0,-101,7,7.95
78,4,0,174,-3,6.84
78,4,1,-57,-2,8.17
78,5,0,-100,7,7.93
79,4,0,174,-3,7.14
79,4,1,-60,-2,7.95
