name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,n_frames,result
fold1_room1_mix001,train,L,12.87,13.44,3.36,siren,peepo,-0.31,0.1249,0.01754,0.251,0.68,0.251,9.96,9.96,5.28,5.28,2.509,8.504,0.58,61,PASS
fold1_room1_mix002,train,R,-6.56,11.39,4.49,horn,-,-0.65,0.136,0.00919,0.279,1.68,0.366,6.93,6.93,3.33,3.33,5.097,7.712,2.08,27,PASS
fold1_room1_mix003,train,L,3.4,11.16,6.27,backup_beep,-,-3.95,0.0302,0.00375,0.277,0.46,0.249,18.35,18.35,13.25,13.25,1.47,4.189,1.22,27,PASS
fold1_room1_mix004,train,R,-9.95,5.84,5.28,bike_bell,-,-3.67,0.0768,0.00316,0.37,1.08,0.252,13.58,13.58,8.5,8.5,5.537,8.161,124.63,26,PASS
fold1_room1_mix005,train,L,10.32,7.81,4.2,siren,wail,-0.81,0.3075,0.02107,0.344,0.69,0.212,1.89,1.89,13.59,13.59,3.339,6.334,0.94,30,PASS
fold1_room1_mix006,train,R,-3.04,5.86,6.06,horn,-,-0.18,0.5477,0.04024,0.395,2.67,0.261,6.23,6.23,11.81,11.81,5.123,9.637,1.39,46,PASS
fold1_room1_mix007,train,L,8.96,7.56,5.06,backup_beep,-,-1.36,0.1874,0.01732,0.509,2.12,0.222,12.97,12.97,13.24,13.24,3.541,6.11,3.62,25,PASS
fold1_room1_mix008,train,R,-6.17,9.91,6.94,bike_bell,-,-3.98,0.0995,0.00423,0.236,2.84,0.22,5.36,5.36,6.26,6.26,2.359,6.731,20.92,43,PASS
fold1_room1_mix009,train,L,10.22,6.95,5.95,siren,peepo,-5.92,0.1294,0.01278,0.278,0.64,0.299,8.91,8.91,7.69,7.69,4.977,8.792,0.6,39,PASS
fold1_room1_mix010,train,R,-14.0,14.36,3.39,horn,-,-1.54,0.1082,0.00737,0.328,2.88,0.344,6.37,6.37,9.29,9.29,3.497,9.327,0.85,61,PASS
fold1_room1_mix011,train,L,10.46,5.23,6.5,backup_beep,-,-4.68,0.1039,0.00944,0.306,1.04,0.226,7.41,7.41,14.81,14.81,2.23,5.945,5.43,37,PASS
fold1_room1_mix012,train,R,-11.87,9.33,5.61,bike_bell,-,-1.39,0.0786,0.00466,0.34,1.2,0.345,8.76,8.76,11.14,11.14,3.218,9.175,1.97,60,PASS
fold1_room1_mix013,train,L,5.55,13.25,5.19,siren,wail,-4.39,0.1711,0.01859,0.277,1.3,0.333,10.13,10.13,12.7,12.7,4.385,9.629,1.41,54,PASS
fold1_room1_mix014,train,R,-9.31,14.84,6.15,horn,-,-1.12,0.1508,0.01385,0.319,5.66,0.206,18.51,18.51,3.3,3.3,3.802,9.414,0.78,57,PASS
fold1_room1_mix015,train,L,14.65,14.54,4.43,backup_beep,-,-4.98,0.0555,0.00788,0.255,1.64,0.358,8.57,8.57,1.14,1.14,1.019,5.54,11.76,44,PASS
fold1_room1_mix016,train,R,-13.93,6.08,5.5,bike_bell,-,-0.2,0.0953,0.00354,0.417,0.92,0.36,4.5,4.5,14.05,14.05,5.46,7.869,7.92,24,PASS
fold1_room1_mix017,train,L,7.83,6.26,3.67,siren,peepo,-3.68,0.2007,0.02152,0.278,0.7,0.358,14.68,14.68,3.79,3.79,2.704,8.048,0.83,54,PASS
fold1_room1_mix018,train,R,-8.33,6.19,4.41,horn,-,-2.38,0.1138,0.00782,0.347,1.13,0.224,18.09,18.09,4.97,4.97,0.301,3.076,0.57,27,PASS
