name,motion,tier,scenario,n_src,peak,recon_err,noise_dba_target,noise_dba_meas,az_med_max,el_med_max,cpa_rel_dist_m,cpa_rel_time_s,car_audible_frac,recv_ok,mask_ok,result
fold1_room2_mix001,static,critical,traffic2,3,0.0121,2.30e-07,41.23022116131972,41.23,0.268,0.33,1.4,6.79,0.99,True,True,PASS
fold1_room2_mix002,static,caution,traffic2,2,0.0039,1.77e-07,58.34305673059406,58.34,0.281,0.305,2.438,5.24,0.77,True,True,PASS
fold1_room2_mix003,walk,safe,traffic2,3,0.0373,2.30e-07,58.762802617351966,58.76,0.299,0.288,7.857,6.9,0.72,True,True,PASS
fold1_room2_mix004,walk,critical,traffic2,2,0.0033,1.77e-07,44.334854916787435,44.33,0.276,0.308,1.101,5.33,0.99,True,True,PASS
fold1_room2_mix005,static,caution,traffic2,3,0.0027,2.25e-07,50.185068303385606,50.19,0.439,0.298,2.221,5.13,1.0,True,True,PASS
fold1_room2_mix006,static,safe,traffic2,2,0.0065,1.78e-07,41.05551497832645,41.06,0.248,0.251,4.663,8.64,0.99,True,True,PASS
fold1_room2_mix007,walk,critical,traffic2,3,0.0064,2.31e-07,57.457848527038465,57.46,0.323,0.273,0.748,7.44,0.78,True,True,PASS
fold1_room2_mix008,walk,caution,traffic2,2,0.0045,1.78e-07,46.10486535410158,46.11,0.292,0.253,1.737,6.86,0.99,True,True,PASS
fold1_room2_mix009,static,safe,traffic2,3,0.0047,2.32e-07,48.99625322403057,49.0,0.269,0.298,14.826,5.38,0.99,True,True,PASS
fold1_room2_mix010,static,critical,traffic2,2,0.0026,1.76e-07,48.0653549271316,48.07,0.295,0.232,1.365,8.26,0.99,True,True,PASS
fold1_room2_mix011,walk,caution,traffic2,3,0.1291,2.30e-07,61.79178784590308,61.79,0.337,0.294,2.781,4.12,0.39,True,True,PASS
fold1_room2_mix012,walk,safe,traffic2,2,0.0012,1.77e-07,53.7418335829321,53.74,0.293,0.24,7.667,5.05,0.99,True,True,PASS
fold1_room2_mix013,static,critical,traffic2,3,0.0189,2.26e-07,61.68294391269916,61.68,0.536,0.318,1.448,5.98,0.45,True,True,PASS
fold1_room2_mix014,static,caution,traffic2,2,0.0023,1.78e-07,49.50165935978142,49.5,0.234,0.227,1.605,6.35,0.98,True,True,PASS
fold1_room2_mix015,walk,safe,traffic2,3,0.0025,2.29e-07,53.34690624515863,53.35,0.27,0.283,7.93,7.57,0.82,True,True,PASS
fold1_room2_mix016,walk,critical,traffic2,2,0.0037,1.77e-07,54.01291019732298,54.01,0.29,0.276,1.217,4.01,0.74,True,True,PASS
fold1_room2_mix017,static,caution,traffic2,3,0.0022,2.25e-07,40.13159973959506,40.13,0.286,0.366,2.58,6.9,0.99,True,True,PASS
fold1_room2_mix018,static,safe,traffic2,2,0.0042,1.77e-07,51.7354661369195,51.74,0.29,0.26,9.515,6.97,0.99,True,True,PASS
fold1_room2_mix019,walk,critical,traffic2,3,0.0028,2.35e-07,44.54098283422399,44.54,0.275,0.347,0.984,7.54,0.98,True,True,PASS
fold1_room2_mix020,walk,caution,traffic2,2,0.0029,1.77e-07,61.14284994587289,61.14,0.306,0.265,2.399,8.47,0.46,True,True,PASS
fold1_room2_mix021,static,safe,traffic2,3,0.0108,2.28e-07,57.153446651794,57.15,0.311,0.193,12.266,7.93,0.57,True,True,PASS
fold1_room2_mix022,static,critical,traffic2,2,0.0061,1.78e-07,45.06837613248185,45.07,0.304,0.287,0.699,6.66,0.99,True,True,PASS
fold1_room2_mix023,walk,caution,traffic2,3,0.0047,2.27e-07,57.37006965953029,57.37,0.281,0.287,2.64,5.5,0.62,True,True,PASS
fold1_room2_mix024,walk,safe,traffic2,2,0.0042,1.77e-07,48.39957391689003,48.4,0.252,0.3,13.676,7.7,0.89,True,True,PASS
fold1_room2_mix025,static,critical,traffic2,3,0.0063,2.26e-07,59.16754485587471,59.17,0.282,0.301,0.961,8.95,0.42,True,True,PASS
fold1_room2_mix026,static,caution,traffic2,2,0.0037,1.78e-07,45.551353146023764,45.55,0.273,0.345,2.335,4.06,0.99,True,True,PASS
fold1_room2_mix027,walk,safe,traffic2,3,0.0069,2.30e-07,48.08859342293456,48.09,0.244,0.312,14.418,7.47,0.95,True,True,PASS
fold1_room2_mix028,walk,critical,traffic2,2,0.0025,1.77e-07,60.459001563741104,60.46,0.301,0.237,1.251,6.06,0.47,True,True,PASS
fold1_room2_mix029,static,caution,traffic2,3,0.0031,2.34e-07,44.400330113141194,44.4,0.278,0.211,2.541,8.79,0.99,True,True,PASS
fold1_room2_mix030,static,safe,traffic2,2,0.0014,1.78e-07,55.36782718562629,55.37,0.263,0.228,9.328,5.01,0.98,True,True,PASS
fold1_room2_mix031,walk,critical,traffic2,3,0.0554,2.31e-07,42.14404638718034,42.14,0.316,0.329,0.683,8.53,0.98,True,True,PASS
fold1_room2_mix032,walk,caution,traffic2,2,0.0022,1.77e-07,42.588160979688055,42.59,0.262,0.345,2.493,7.3,0.99,True,True,PASS
fold1_room2_mix033,static,safe,traffic2,3,0.0068,2.29e-07,60.50328616935877,60.5,0.286,0.41,14.801,5.18,0.04,True,True,PASS
fold1_room2_mix034,static,critical,traffic2,2,0.0038,1.77e-07,59.312947432936674,59.31,0.358,0.27,0.622,4.08,0.33,True,True,PASS
fold1_room2_mix035,walk,caution,traffic2,3,0.0027,2.31e-07,50.63789112986825,50.64,0.267,0.251,2.919,6.3,1.0,True,True,PASS
fold1_room2_mix036,walk,safe,traffic2,2,0.0027,1.78e-07,56.74546378063749,56.75,0.288,0.218,5.793,7.65,0.54,True,True,PASS
fold1_room2_mix037,static,critical,traffic2,3,0.0056,2.29e-07,45.644231837872645,45.64,0.305,0.349,1.498,7.73,0.98,True,True,PASS
fold1_room2_mix038,static,caution,traffic2,2,0.0025,1.78e-07,58.844023245409915,58.84,0.301,0.285,2.756,7.96,0.4,True,True,PASS
fold1_room2_mix039,walk,safe,traffic2,3,0.0015,2.29e-07,57.10917265119363,57.11,0.257,0.27,9.722,5.18,0.88,True,True,PASS
fold1_room2_mix040,walk,critical,traffic2,2,0.005,1.77e-07,56.922445378721946,56.92,0.274,0.326,0.625,4.09,0.63,True,True,PASS
fold1_room2_mix041,static,caution,traffic2,3,0.1025,2.31e-07,64.00058299282952,64.0,0.361,0.314,2.713,8.04,0.39,True,True,PASS
fold1_room2_mix042,static,safe,traffic2,2,0.0009,1.76e-07,50.3196775410971,50.32,0.274,0.286,9.01,6.38,0.99,True,True,PASS
fold1_room2_mix043,walk,critical,traffic2,3,0.0121,2.28e-07,57.139852250593016,57.14,0.362,0.327,1.043,4.29,0.79,True,True,PASS
fold1_room2_mix044,walk,caution,traffic2,2,0.0024,1.77e-07,59.48624408061602,59.49,0.251,0.331,1.551,7.4,0.54,True,True,PASS
fold1_room2_mix045,static,safe,traffic2,3,0.0042,2.30e-07,47.299696811245795,47.3,0.397,0.306,14.106,7.22,0.99,True,True,PASS
fold1_room2_mix046,static,critical,traffic2,2,0.0052,1.77e-07,56.338807416755394,56.34,0.33,0.267,0.804,8.95,0.47,True,True,PASS
fold1_room2_mix047,walk,caution,traffic2,3,0.0041,2.30e-07,43.04203771482236,43.04,0.307,0.307,2.163,5.96,1.0,True,True,PASS
fold1_room2_mix048,walk,safe,traffic2,2,0.0021,1.76e-07,60.29955208908394,60.3,0.335,0.258,6.516,7.77,0.29,True,True,PASS
fold1_room2_mix049,static,critical,traffic2,3,0.0027,2.34e-07,46.591057507559036,46.59,0.458,0.325,1.467,8.32,0.99,True,True,PASS
fold1_room2_mix050,static,caution,traffic2,2,0.0029,1.78e-07,61.82462650152794,61.82,0.29,0.271,1.763,4.06,0.45,True,True,PASS
fold1_room2_mix051,walk,safe,traffic2,3,0.0073,2.35e-07,48.886654992402455,48.89,0.257,0.275,5.881,5.49,0.99,True,True,PASS
fold1_room2_mix052,walk,critical,traffic2,2,0.0049,1.77e-07,51.5161503107164,51.52,0.266,0.289,1.352,7.58,0.97,True,True,PASS
fold1_room2_mix053,static,caution,traffic2,3,0.0039,2.29e-07,63.997585521982586,64.0,0.296,0.424,1.734,7.23,0.48,True,True,PASS
fold1_room2_mix054,static,safe,traffic2,2,0.0029,1.77e-07,55.604464462834244,55.6,0.266,0.36,12.154,5.16,0.8,True,True,PASS
fold1_room2_mix055,walk,critical,traffic2,3,0.0032,2.26e-07,55.14739710179973,55.15,0.298,0.262,1.255,6.37,0.56,True,True,PASS
fold1_room2_mix056,walk,caution,traffic2,2,0.0077,1.77e-07,48.21221581182988,48.21,0.25,0.249,2.443,4.98,1.0,True,True,PASS
fold1_room2_mix057,static,safe,traffic2,3,0.0027,2.28e-07,42.28859304666861,42.29,0.267,0.329,12.153,5.73,0.99,True,True,PASS
fold1_room2_mix058,static,critical,traffic2,2,0.0035,1.77e-07,47.568311646518346,47.57,0.288,0.328,0.804,6.33,0.99,True,True,PASS
fold1_room2_mix059,walk,caution,traffic2,3,0.0033,2.31e-07,47.37914833421845,47.38,0.282,0.34,2.956,7.72,0.99,True,True,PASS
fold1_room2_mix060,walk,safe,traffic2,2,0.0017,1.77e-07,45.858895331703756,45.86,0.284,0.278,5.858,8.87,0.99,True,True,PASS
fold1_room2_mix061,static,critical,traffic2,3,0.119,2.30e-07,57.31789203495424,57.32,0.302,0.242,1.265,4.86,0.99,True,True,PASS
fold1_room2_mix062,static,caution,traffic2,2,0.003,1.77e-07,60.03189031847715,60.03,0.328,0.235,1.779,4.09,0.48,True,True,PASS
fold1_room2_mix063,walk,safe,traffic2,3,0.0171,2.31e-07,54.674027854039345,54.67,0.263,0.231,6.961,6.66,0.95,True,True,PASS
fold1_room2_mix064,walk,critical,traffic2,2,0.0043,1.76e-07,40.334599964549476,40.34,0.279,0.232,1.413,8.2,0.99,True,True,PASS
fold1_room2_mix065,static,caution,traffic2,3,0.0039,2.34e-07,47.8588666097372,47.86,0.306,0.417,2.12,6.32,1.0,True,True,PASS
fold1_room2_mix066,static,safe,traffic2,2,0.0007,1.76e-07,41.251184293253516,41.25,0.255,0.347,13.864,8.55,0.98,True,True,PASS
fold1_room2_mix067,walk,critical,traffic2,3,0.0077,2.30e-07,61.22775569426456,61.23,0.36,0.299,0.667,8.52,0.35,True,True,PASS
fold1_room2_mix068,walk,caution,traffic2,2,0.0027,1.77e-07,57.973122903225494,57.97,0.327,0.249,2.106,6.79,0.37,True,True,PASS
fold1_room2_mix069,static,safe,traffic2,3,0.0024,2.30e-07,44.39381206491666,44.39,0.279,0.321,4.555,6.85,0.99,True,True,PASS
fold1_room2_mix070,static,critical,traffic2,2,0.0047,1.77e-07,61.71642367226161,61.72,0.302,0.312,0.926,7.13,0.48,True,True,PASS
fold1_room2_mix071,walk,caution,traffic2,3,0.106,2.30e-07,50.36666747882474,50.37,0.282,0.255,2.77,6.4,0.96,True,True,PASS
fold1_room2_mix072,walk,safe,traffic2,2,0.0043,1.77e-07,43.25431430635816,43.25,0.281,0.276,9.615,6.72,0.99,True,True,PASS
fold1_room2_mix073,static,critical,traffic2,3,0.0501,2.31e-07,40.10871686123068,40.11,0.569,0.369,1.021,8.83,0.98,True,True,PASS
fold1_room2_mix074,static,caution,traffic2,2,0.0026,1.77e-07,55.204943071911025,55.2,0.316,0.233,2.436,7.07,0.7,True,True,PASS
fold1_room2_mix075,walk,safe,traffic2,3,0.0035,2.31e-07,44.91249583823435,44.91,0.274,0.333,5.445,8.98,0.98,True,True,PASS
fold1_room2_mix076,walk,critical,traffic2,2,0.0039,1.78e-07,45.947896039546094,45.95,0.284,0.318,0.928,8.18,0.99,True,True,PASS
fold1_room2_mix077,static,caution,traffic2,3,0.005,2.29e-07,62.828129445533904,62.83,0.338,0.298,1.931,4.17,0.4,True,True,PASS
fold1_room2_mix078,static,safe,traffic2,2,0.0013,1.78e-07,55.29447345364443,55.29,0.298,0.329,5.333,5.41,0.95,True,True,PASS
fold1_room2_mix079,walk,critical,traffic2,3,0.0033,2.32e-07,58.34591905389058,58.35,0.272,0.302,0.97,6.74,0.65,True,True,PASS
fold1_room2_mix080,walk,caution,traffic2,2,0.0021,1.78e-07,62.28620746495577,62.29,0.346,0.224,2.168,7.61,0.46,True,True,PASS
fold1_room2_mix081,static,safe,traffic2,3,0.1142,2.30e-07,59.63165634199835,59.63,0.345,0.228,4.072,4.71,0.88,True,True,PASS
fold1_room2_mix082,static,critical,traffic2,2,0.0042,1.77e-07,50.25355773768685,50.25,0.287,0.227,0.808,4.92,0.99,True,True,PASS
fold1_room2_mix083,walk,caution,traffic2,3,0.0377,2.29e-07,46.046286684818355,46.05,0.477,0.296,1.93,6.69,0.99,True,True,PASS
fold1_room2_mix084,walk,safe,traffic2,2,0.0062,1.77e-07,58.06815907172248,58.07,0.285,0.297,6.107,5.19,1.0,True,True,PASS
fold1_room2_mix085,static,critical,traffic2,3,0.0052,2.26e-07,42.43187388003611,42.43,0.267,0.458,1.091,6.1,1.0,True,True,PASS
fold1_room2_mix086,static,caution,traffic2,2,0.0028,1.78e-07,43.959756186700794,43.96,0.296,0.26,1.811,8.41,0.98,True,True,PASS
fold1_room2_mix087,walk,safe,traffic2,3,0.0032,2.34e-07,46.450856918439854,46.45,0.298,0.324,9.518,8.28,0.99,True,True,PASS
fold1_room2_mix088,walk,critical,traffic2,2,0.0032,1.77e-07,60.217960147272564,60.22,0.213,0.305,1.214,5.58,0.62,True,True,PASS
