0	/m/012f08	Motor vehicle (road)	120	913.8
1	/m/0130jx	Sink (filling or washing)	133	931.4
2	/m/013y1f	Organ	341	1847.2
3	/m/014zdl	Explosion	137	365.6
4	/m/015lz1	Singing	201	1450.9
5	/m/015p6	Bird	339	1703.2
6	/m/018vs	Bass guitar	311	1647.4
7	/m/0195fx	Subway, metro, underground	408	2972.5
8	/m/0199g	Bicycle, tricycle	146	965.1
9	/m/019jd	Boat, Water vehicle	57	402.8
10	/m/01b82r	Sawing	200	1403.2
11	/m/01b_21	Cough	272	1132.2
12	/m/01bjv	Bus	229	1808.6
13	/m/01d380	Drill	191	1151.9
14	/m/01dwxx	Gull, seagull	80	593.0
15	/m/01h8n0	Conversation	47	383.4
16	/m/01hgjl	Scratching (performance technique)	245	717.2
17	/m/01hnzm	Ringtone	69	336.6
18	/m/01hsr_	Sneeze	83	161.0
19	/m/01j3sz	Laughter	657	2430.2
20	/m/01jt3m	Toilet flush	257	1846.4
21	/m/01kcd	Brass instrument	267	674.9
22	/m/01lsmm	Scissors	149	871.5
23	/m/01m2v	Computer keyboard	253	1802.9
24	/m/01m4t	Printer	194	1259.5
25	/m/01p970	Tabla	66	143.1
26	/m/01s0vc	Zipper (clothing)	418	2169.1
27	/m/01x3z	Clock	189	1356.3
28	/m/01yrx	Cat	51	225.7
29	/m/020bb7	Bird vocalization, bird call, bird song	413	3079.5
31	/m/023pjk	Cutlery, silverware	194	424.3
32	/m/0242l	Coin (dropping)	349	1261.1
33	/m/025_jnm	Finger snapping	76	340.0
34	/m/026fgl	Wind chime	127	918.1
35	/m/026t6	Drum	38	40.6
36	/m/028ght	Applause	333	2510.5
37	/m/02_41	Fire	362	2177.4
38	/m/02_nn	Fart	510	871.9
39	/m/02bm9n	Ratchet, pawl	66	441.7
41	/m/02hnl	Drum kit	156	691.5
42	/m/02jz0l	Water tap, faucet	130	952.6
43	/m/02mk9	Engine	44	253.9
44	/m/02rtxlg	Whispering	161	563.2
45	/m/02sgy	Electric guitar	475	1745.0
46	/m/02x984l	Mechanical fan	135	1059.6
47	/m/02y_763	Sliding door	166	994.9
48	/m/02yds9	Purr	150	1121.9
49	/m/02zsn	Female speech, woman speaking	323	722.6
50	/m/0316dw	Typing	142	1031.6
51	/m/032s66	Gunshot, gunfire	272	698.8
53	/m/034srq	Waves, surf	277	2126.7
54	/m/0395lw	Bell	162	533.7
55	/m/039jq	Glass	170	448.6
56	/m/03cczk	Chewing, mastication	273	1864.9
57	/m/03dnzn	Bathtub (filling or washing)	108	836.3
58	/m/03kmc9	Siren	31	200.3
59	/m/03l9g	Hammer	200	1253.6
60	/m/03m5k	Harp	225	1366.9
61	/m/03m9d0z	Wind	196	1137.9
62	/m/03q5_w	Burping, eructation	255	525.3
63	/m/03qc9zr	Screaming	250	698.6
64	/m/03qjg	Harmonica	225	1134.7
65	/m/03qtq	Hi-hat	276	419.3
66	/m/03qtwd	Crowd	113	778.4
67	/m/03v3yw	Keys jangling	212	1064.7
68	/m/03vt0	Insect	116	886.8
