car_side,clip_id,danger_tier,motion,n_car,n_warnings,scenario,scene_type,seed,split,w1_class,w1_side,w2_class,w2_side
L,fold32_room1_mix0001,critical,walk,2,1,v11core,arterial,15000000000,fold32,siren,R,,
L,fold32_room1_mix0002,safe,static,1,2,v11core,arterial,15000104729,fold32,bike_bell,L,crossing,R
R,fold32_room1_mix0003,safe,walk,2,0,v11core,daily,15000209458,fold32,,,,
,fold32_room1_mix0004,na,walk,0,1,v11core,residential,15000314187,fold32,horn,R,,
R,fold32_room1_mix0005,caution,static,2,0,v11core,daily,15000418916,fold32,,,,
R,fold32_room1_mix0006,caution,static,1,0,v11core,residential,15000523645,fold32,,,,
L,fold32_room1_mix0007,critical,walk,1,1,v11core,residential,15000628374,fold32,crossing,L,,
,fold32_room1_mix0008,na,static,0,2,v11core,residential,15000733103,fold32,siren,L,backup_beep,L
L,fold32_room1_mix0009,safe,static,1,1,v11core,residential,15000837832,fold32,siren,L,,
L,fold32_room1_mix0010,safe,static,1,0,v11core,daily,15000942561,fold32,,,,
R,fold32_room1_mix0011,safe,static,1,1,v11core,residential,15001047290,fold32,siren,R,,
L,fold32_room1_mix0012,critical,walk,1,1,v11core,residential,15001152019,fold32,bike_bell,L,,
L,fold32_room1_mix0013,caution,static,1,1,v11core,residential,15001256748,fold32,bike_bell,R,,
L,fold32_room1_mix0014,critical,walk,2,1,v11core,daily,15001361477,fold32,backup_beep,R,,
L,fold32_room1_mix0015,caution,static,1,0,v11core,daily,15001466206,fold32,,,,
,fold32_room1_mix0016,na,walk,0,1,v11core,residential,15001570935,fold32,bike_bell,R,,
R,fold32_room1_mix0017,safe,static,2,0,v11core,arterial,15001675664,fold32,,,,
R,fold32_room1_mix0018,critical,walk,1,1,v11core,residential,15001780393,fold32,crossing,L,,
R,fold32_room1_mix0019,critical,static,2,0,v11core,residential,15001885122,fold32,,,,
L,fold32_room1_mix0020,caution,walk,3,1,v11core,arterial,15001989851,fold32,horn,R,,
L,fold32_room1_mix0021,safe,walk,1,1,v11core,arterial,15002094580,fold32,backup_beep,L,,
R,fold32_room1_mix0022,caution,walk,1,2,v11core,arterial,15002199309,fold32,backup_beep,L,backup_beep,R
L,fold32_room1_mix0023,critical,walk,2,0,v11core,daily,15002304038,fold32,,,,
,fold32_room1_mix0024,na,static,0,0,v11core,residential,15002408767,fold32,,,,
R,fold32_room1_mix0025,caution,walk,1,1,v11core,residential,15002513496,fold32,crossing,L,,
R,fold32_room1_mix0026,caution,static,2,1,v11core,arterial,15002618225,fold32,horn,R,,
,fold32_room1_mix0027,na,walk,0,0,v11core,residential,15002722954,fold32,,,,
,fold32_room1_mix0028,na,walk,0,1,v11core,daily,15002827683,fold32,crossing,L,,
L,fold32_room1_mix0029,caution,static,1,1,v11core,arterial,15002932412,fold32,backup_beep,L,,
,fold32_room1_mix0030,na,walk,0,1,v11core,residential,15003037141,fold32,backup_beep,L,,
L,fold32_room1_mix0031,critical,static,3,1,v11core,daily,15003141870,fold32,horn,R,,
L,fold32_room1_mix0032,safe,walk,1,0,v11core,residential,15003246599,fold32,,,,
R,fold32_room1_mix0033,caution,static,1,2,v11core,residential,15003351328,fold32,backup_beep,R,backup_beep,L
,fold32_room1_mix0034,na,static,0,0,v11core,residential,15003456057,fold32,,,,
,fold32_room1_mix0035,na,static,0,1,v11core,daily,15003560786,fold32,backup_beep,R,,
R,fold32_room1_mix0036,caution,walk,1,1,v11core,daily,15003665515,fold32,crossing,R,,
L,fold32_room1_mix0037,safe,static,1,1,v11core,daily,15003770244,fold32,backup_beep,R,,
L,fold32_room1_mix0038,caution,static,1,0,v11core,arterial,15003874973,fold32,,,,
L,fold32_room1_mix0039,safe,walk,1,1,v11core,daily,15003979702,fold32,crossing,R,,
L,fold32_room1_mix0040,caution,static,1,2,v11core,arterial,15004084431,fold32,backup_beep,R,crossing,L
R,fold32_room1_mix0041,critical,walk,2,1,v11core,arterial,15004189160,fold32,crossing,R,,
,fold32_room1_mix0042,na,static,0,0,v11core,residential,15004293889,fold32,,,,
R,fold32_room1_mix0043,safe,walk,1,1,v11core,residential,15004398618,fold32,crossing,R,,
,fold32_room1_mix0044,na,walk,0,1,v11core,residential,15004503347,fold32,siren,R,,
L,fold32_room1_mix0045,safe,static,2,0,v11core,arterial,15004608076,fold32,,,,
R,fold32_room1_mix0046,critical,static,3,0,v11core,daily,15004712805,fold32,,,,
L,fold32_room1_mix0047,caution,walk,1,1,v11core,residential,15004817534,fold32,siren,R,,
R,fold32_room1_mix0048,safe,walk,1,1,v11core,daily,15004922263,fold32,crossing,R,,
R,fold32_room1_mix0049,caution,walk,2,1,v11core,daily,15005026992,fold32,siren,L,,
R,fold32_room1_mix0050,caution,walk,1,0,v11core,residential,15005131721,fold32,,,,
R,fold32_room1_mix0051,safe,static,1,1,v11core,daily,15005236450,fold32,horn,R,,
L,fold32_room1_mix0052,critical,walk,2,0,v11core,arterial,15005341179,fold32,,,,
L,fold32_room1_mix0053,safe,walk,1,0,v11core,daily,15005445908,fold32,,,,
R,fold32_room1_mix0054,caution,static,2,0,v11core,arterial,15005550637,fold32,,,,
,fold32_room1_mix0055,na,static,0,0,v11core,residential,15005655366,fold32,,,,
R,fold32_room1_mix0056,caution,walk,2,2,v11core,daily,15005760095,fold32,backup_beep,L,bike_bell,L
R,fold32_room1_mix0057,critical,walk,2,2,v11core,daily,15005864824,fold32,backup_beep,R,backup_beep,L
,fold32_room1_mix0058,na,walk,0,1,v11core,residential,15005969553,fold32,siren,R,,
L,fold32_room1_mix0059,caution,static,2,2,v11core,daily,15006074282,fold32,siren,R,crossing,L
R,fold32_room1_mix0060,critical,static,1,0,v11core,daily,15006179011,fold32,,,,
R,fold32_room1_mix0061,safe,static,1,0,v11core,daily,15006283740,fold32,,,,
,fold32_room1_mix0062,na,walk,0,1,v11core,residential,15006388469,fold32,siren,L,,
R,fold32_room1_mix0063,caution,walk,1,1,v11core,daily,15006493198,fold32,bike_bell,L,,
R,fold32_room1_mix0064,caution,walk,1,0,v11core,residential,15006597927,fold32,,,,
R,fold32_room1_mix0065,safe,walk,2,0,v11core,residential,15006702656,fold32,,,,
L,fold32_room1_mix0066,safe,static,2,1,v11core,daily,15006807385,fold32,horn,L,,
R,fold32_room1_mix0067,critical,static,1,0,v11core,residential,15006912114,fold32,,,,
R,fold32_room1_mix0068,safe,static,1,0,v11core,arterial,15007016843,fold32,,,,
R,fold32_room1_mix0069,caution,walk,1,0,v11core,daily,15007121572,fold32,,,,
R,fold32_room1_mix0070,safe,static,2,1,v11core,daily,15007226301,fold32,horn,L,,
L,fold32_room1_mix0071,critical,walk,1,0,v11core,daily,15007331030,fold32,,,,
