session_id,take_id,event_id,原本,class,象限,ラップ秒,n_car,overlap_group_id,車種,車両区分,確認方法,速度,横距離m,状態,pair_id,特記
20260920_A1,1,1,ZOOM0002.wav,car_drive,R,8.4,1,,ガソリン,乗用,目視,徐行,2.0,静止,,←この行は例。消す（記入例は 例_記入済み.csv）
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
,,1,,,,,1,,,,,,,静止,,
