1,4,0,2,-1
1,4,1,-177,-1
1,4,2,-154,-1
2,4,0,2,-1
2,4,1,-177,-1
2,4,2,-154,-1
3,4,0,2,-1
3,4,1,-177,-1
3,4,2,-154,-1
4,4,0,2,-1
4,4,1,-177,-1
4,4,2,-153,-1
5,4,0,2,-1
5,4,1,-177,-1
5,4,2,-153,-1
6,4,0,2,-1
6,4,1,-177,-1
6,4,2,-152,-1
7,4,0,2,-1
7,4,1,-177,-1
7,4,2,-152,-1
8,4,0,2,-1
8,4,1,-177,-1
8,4,2,-152,-1
9,4,0,2,-1
9,4,1,-177,-1
9,4,2,-151,-1
10,4,0,2,-1
10,4,1,-176,-1
10,4,2,-151,-1
11,4,0,2,-1
11,4,1,-176,-1
11,4,2,-150,-1
12,4,0,2,-1
12,4,1,-176,-1
12,4,2,-150,-1
13,4,0,2,-1
13,4,1,-176,-1
13,4,2,-149,-1
14,4,0,2,-1
14,4,1,-176,-1
14,4,2,-149,-1
15,4,0,2,-1
15,4,1,-176,-1
15,4,2,-148,-1
16,4,0,2,-1
16,4,1,-176,-1
16,4,2,-148,-1
17,4,0,2,-1
17,4,1,-176,-1
17,4,2,-147,-1
18,4,0,2,-1
18,4,1,-176,-1
18,4,2,-147,-1
19,4,0,2,-1
19,4,1,-176,-2
19,4,2,-146,-1
20,4,0,2,-1
20,4,1,-175,-2
20,4,2,-145,-1
21,4,0,2,-1
21,4,1,-175,-2
21,4,2,-145,-1
22,4,0,2,-1
22,4,1,-175,-2
22,4,2,-144,-1
23,4,0,2,-1
23,4,1,-175,-2
23,4,2,-144,-1
24,4,0,2,-1
24,4,1,-175,-2
24,4,2,-143,-1
25,4,0,3,-1
25,4,1,-175,-2
25,4,2,-142,-1
26,4,0,3,-1
26,4,1,-174,-2
26,4,2,-142,-1
27,4,0,3,-1
27,4,1,-174,-2
27,4,2,-141,-1
28,4,0,3,-1
28,4,1,-174,-2
28,4,2,-140,-1
29,4,0,3,-1
29,4,1,-174,-2
29,4,2,-139,-1
30,4,0,3,-1
30,4,1,-173,-2
30,4,2,-138,-1
31,4,0,3,-1
31,4,1,-173,-2
31,4,2,-138,-1
32,4,0,3,-1
32,4,1,-173,-2
32,4,2,-137,-1
33,4,0,3,-1
33,4,1,-172,-3
33,4,2,-136,-1
34,4,0,3,-1
34,4,1,-172,-3
34,4,2,-135,-1
35,4,0,3,-1
35,4,1,-171,-3
35,4,2,-134,-1
36,4,0,3,-1
36,4,1,-171,-3
36,4,2,-133,-1
37,4,0,3,-1
37,4,1,-170,-3
37,4,2,-132,-1
38,4,0,3,-1
38,4,1,-170,-3
38,4,2,-131,-1
39,4,0,4,-1
39,4,1,-169,-4
39,4,2,-130,-1
40,4,0,4,-1
40,4,1,-168,-4
40,4,2,-129,-1
41,4,0,4,-1
41,4,1,-167,-4
41,4,2,-128,-1
42,4,0,4,-1
42,4,1,-166,-5
42,4,2,-127,-1
43,4,0,4,-1
43,4,1,-164,-5
43,4,2,-125,-1
44,4,0,4,-1
44,4,1,-163,-6
44,4,2,-124,-1
45,4,0,4,-1
45,4,1,-160,-6
45,4,2,-123,-1
46,4,0,4,-1
46,4,1,-158,-7
46,4,2,-121,-1
47,4,0,5,-2
47,4,1,-154,-8
47,4,2,-120,-1
48,4,0,5,-2
48,4,1,-149,-10
48,4,2,-119,-1
49,4,0,5,-2
49,4,1,-142,-12
49,4,2,-117,-1
50,4,0,5,-2
50,4,1,-132,-14
50,4,2,-116,-1
51,4,0,5,-2
51,4,1,-118,-17
51,4,2,-114,-1
52,4,0,6,-2
52,4,1,-98,-18
52,4,2,-113,-1
53,4,0,6,-2
53,4,1,-77,-18
53,4,2,-111,-1
54,4,0,6,-2
54,4,1,-59,-16
54,4,2,-109,-1
55,4,0,7,-2
55,4,1,-46,-14
55,4,2,-108,-1
56,4,0,7,-2
56,4,1,-37,-11
56,4,2,-106,-1
57,4,0,7,-2
57,4,1,-30,-10
57,4,2,-104,-1
58,4,0,8,-3
58,4,1,-26,-8
58,4,2,-103,-1
59,4,0,8,-3
59,4,1,-22,-7
59,4,2,-101,-1
60,4,0,9,-3
60,4,1,-20,-6
60,4,2,-99,-1
61,4,0,10,-3
61,4,1,-17,-6
61,4,2,-97,-1
62,4,0,11,-4
62,4,1,-16,-5
62,4,2,-95,-1
63,4,0,12,-4
63,4,1,-14,-5
63,4,2,-94,-1
64,4,0,13,-4
64,4,1,-13,-4
64,4,2,-92,-1
65,4,0,14,-5
65,4,1,-12,-4
65,4,2,-90,-1
66,4,0,16,-5
66,4,1,-11,-4
66,4,2,-88,-1
67,4,0,19,-6
67,4,1,-10,-4
67,4,2,-86,-1
68,4,0,22,-7
68,4,1,-10,-3
68,4,2,-84,-1
69,4,0,27,-9
69,4,1,-9,-3
69,4,2,-83,-1
70,4,0,33,-10
70,4,1,-9,-3
70,4,2,-81,-1
71,4,0,43,-13
71,4,1,-8,-3
71,4,2,-79,-1
72,4,0,59,-16
72,4,1,-8,-3
72,4,2,-77,-1
73,4,0,83,-18
73,4,1,-7,-3
73,4,2,-76,-1
74,4,0,109,-18
74,4,1,-7,-2
74,4,2,-74,-1
75,4,0,129,-15
75,4,1,-7,-2
75,4,2,-72,-1
76,4,0,142,-12
76,4,1,-7,-2
76,4,2,-71,-1
77,4,0,150,-10
77,4,1,-6,-2
