set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix001,critical,normal,walk,1,0,,0.7000000000000002
val,fold2_room1_mix002,safe,normal,static,2,0,5.78,8.18
val,fold2_room1_mix003,safe,normal,static,0,0,,1.6500000000000004
val,fold2_room1_mix004,caution,normal,static,4,0,5.959999999999999,6.859999999999999
val,fold2_room1_mix005,safe,normal,static,6,0,5.59,6.09
val,fold2_room1_mix006,critical,normal,static,4,0,0.5199999999999996,1.5199999999999996
val,fold2_room1_mix007,safe,normal,static,2,0,,2.2199999999999998
val,fold2_room1_mix008,caution,normal,static,3,0,7.700000000000001,8.700000000000001
val,fold2_room1_mix009,caution,normal,walk,1,0,5.21,6.61
val,fold2_room1_mix010,caution,normal,walk,5,0,6.58,7.58
val,fold2_room1_mix011,caution,normal,walk,3,0,0.6300000000000008,1.4300000000000006
val,fold2_room1_mix012,caution,normal,walk,5,0,1.0000000000000009,2.3000000000000007
val,fold2_room1_mix013,safe,normal,walk,1,0,,2.49
val,fold2_room1_mix014,critical,normal,walk,3,0,1.0099999999999998,2.21
val,fold2_room1_mix015,critical,normal,walk,1,0,0.6099999999999994,1.6099999999999994
val,fold2_room1_mix016,caution,normal,walk,4,0,1.9299999999999997,3.0300000000000002
val,fold2_room1_mix017,safe,normal,static,2,0,4.09,6.390000000000001
val,fold2_room1_mix018,caution,normal,walk,4,0,,1.959999999999999
val,fold2_room1_mix019,caution,normal,static,2,0,0.8700000000000001,1.87
val,fold2_room1_mix020,critical,normal,walk,1,0,,0.8499999999999996
val,fold2_room1_mix021,critical,normal,static,3,0,0.5099999999999998,1.4099999999999993
val,fold2_room1_mix022,safe,normal,walk,7,0,4.890000000000001,6.59
val,fold2_room1_mix023,caution,normal,static,3,0,3.72,5.82
val,fold2_room1_mix024,caution,normal,static,4,0,2.9,4.6
val,fold2_room1_mix025,critical,normal,walk,2,0,,1.0499999999999998
val,fold2_room1_mix026,safe,normal,walk,2,0,,0.33000000000000007
val,fold2_room1_mix027,safe,normal,walk,4,0,0.22000000000000064,1.0199999999999996
val,fold2_room1_mix028,caution,normal,walk,1,0,,0.5800000000000001
val,fold2_room1_mix029,caution,normal,walk,4,0,6.42,7.42
val,fold2_room1_mix030,caution,normal,static,5,0,5.01,5.8100000000000005
val,fold2_room1_mix031,critical,normal,walk,4,0,7.4,8.3
val,fold2_room1_mix032,critical,normal,walk,2,0,0.9099999999999993,1.8099999999999996
val,fold2_room1_mix033,safe,normal,static,4,0,4.369999999999999,4.27
val,fold2_room1_mix034,safe,normal,walk,1,0,2.5600000000000005,3.860000000000001
val,fold2_room1_mix035,safe,normal,walk,2,0,4.829999999999999,5.43
val,fold2_room1_mix036,critical,normal,static,5,0,6.25,7.1499999999999995
val,fold2_room1_mix037,safe,normal,static,1,0,,1.1300000000000008
val,fold2_room1_mix038,critical,normal,walk,1,0,1.2500000000000009,1.950000000000001
val,fold2_room1_mix039,safe,normal,static,5,0,1.5899999999999999,2.29
val,fold2_room1_mix040,caution,normal,static,5,0,5.77,6.67
val,fold2_room1_mix041,caution,normal,static,4,0,5.85,6.75
val,fold2_room1_mix042,safe,normal,static,3,0,,1.1100000000000003
val,fold2_room1_mix043,caution,normal,static,3,0,2.71,3.71
val,fold2_room1_mix044,critical,normal,walk,3,0,1.3399999999999999,1.7400000000000002
val,fold2_room1_mix045,safe,normal,static,2,0,6.5600000000000005,7.36
val,fold2_room1_mix046,safe,normal,static,3,0,6.1,7.0
val,fold2_room1_mix047,caution,normal,static,3,0,7.130000000000001,8.030000000000001
val,fold2_room1_mix048,critical,normal,walk,4,0,6.829999999999999,7.7299999999999995
